objectid,filename,youtubeid,vimeoid,title,creator,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
01-Carousel,21-Carousel.jpg,,,Carousel,Elizabeth Jameson,2010,A visual representation other than text,image;brain-MRI,"Knoxville, Tennessee",,,,,Image,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
02-Sam;-he/him;-Arnold-Chiari-Malformation,31-Sam.jpg,,,Sam; he/him; Arnold Chiari Malformation,KYRIANNA,2018,A visual representation other than text,image;man-face,"Knoxville, Tennessee",,,,,Image,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
03-Kamen’s-Lens,20-Kamen_s-Lens-6.jpg,,,Kamen’s Lens (6),Rebecca Kamen,2011,A visual representation other than text,image;web-acrylic,"Knoxville, Tennessee",,,,,Image,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
04-Curving-vertebrae-with-nerve-spaces,12-Thoracic.jpg,,,Curving vertebrae with nerve spaces,Laura Ferguson,2018,A visual representation other than text,image;vertabre-nerve,"Knoxville, Tennessee",,,,,Image,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
05-Slugs,04-Slugs.jpg,,,Slugs (Memories series),Matt Bodett,2025,A visual representation other than text,image;abstract ,"Knoxville, Tennessee",,,,,Image,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
06-Transient-Objects,30-Transient.jpg,,,Transient Objects,David Johnson,2020,"An inanimate, three-dimensional object or substance.",object;3D-print,"Knoxville, Tennessee",,,,,Physical-Object,image/jpeg,eng,Ewing Gallery,https://ewing-gallery.utk.edu/
coll008,,,,,,,,,,,,,,,,,,
coll009,,,,,,,,,,,,,,,,,,
coll010,,,,,,,,,,,,,,,,,,
coll011,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,
